date,title,type,category
"Nov 27, 2018",Blocking Property of Certain Persons Contributing to the Situation in Nicaragua,Executive Orders,National security
"Nov 1, 2018",Blocking Property of Additional Persons Contributing to the Situation in Venezuela,Executive Orders,National security
"Sep 20, 2018",Authorizing the Implementation of Certain Sanctions Set Forth in the Countering America's Adversaries Through Sanctions Act,Executive Orders,National security
"Sep 12, 2018",Imposing Certain Sanctions in the Event of Foreign Interference in a United States Election,Executive Orders,National security
"Aug 31, 2018",Strengthening Retirement Security in America,Executive Orders,Labor/Immigration
"Aug 6, 2018",Reimposing Certain Sanctions With Respect to Iran,Executive Orders,National security
"Jul 19, 2018",Establishing the President's National Council for the American Worker,Executive Orders,Labor/Immigration
"Jul 11, 2018",Establishment of the Task Force on Market Integrity and Consumer Fraud,Executive Orders,Economy
"Jul 10, 2018","Establishing an Exception to Competitive Examining Rules for Appointment to Certain Positions in the United States Marshals Service, Department of Justice",Executive Orders,Labor/Immigration
"Jul 10, 2018",Excepting Administrative Law Judges From the Competitive Service,Executive Orders,Labor/Immigration
"Jun 20, 2018",Affording Congress an Opportunity To Address Family Separation,Executive Orders,Labor/Immigration
"Jun 19, 2018","Ocean Policy To Advance the Economic, Security, and Environmental Interests of the United States",Executive Orders,Economy
"May 25, 2018","Developing Efficient, Effective, and Cost-Reducing Approaches to Federal Sector Collective Bargaining",Executive Orders,Economy
"May 25, 2018","Ensuring Transparency, Accountability, and Efficiency in Taxpayer-Funded Union Time Use",Executive Orders,Labor/Immigration
"May 25, 2018",Exemption From Executive Order 13658 for Recreational Services on Federal Lands,Executive Orders,Energy
"May 25, 2018",Promoting Accountability and Streamlining Removal Procedures Consistent With Merit System Principles,Executive Orders,Labor/Immigration
"May 21, 2018",Prohibiting Certain Additional Transactions With Respect to Venezuela,Executive Orders,National security
"May 17, 2018",Efficient Federal Operations,Executive Orders,Energy
"May 15, 2018",Enhancing the Effectiveness of Agency Chief Information Officers,Executive Orders,Tech
"May 9, 2018",Enhancing Noncompetitive Civil Service Appointments of Military Spouses,Executive Orders,National security
"May 3, 2018",Establishment of a White House Faith and Opportunity Initiative,Executive Orders,Events
"Apr 20, 2018",Delegation of Authority To Approve Certain Military Decorations,Executive Orders,National security
"Apr 12, 2018",Task Force on the United States Postal System,Executive Orders,Administrative work
"Apr 10, 2018",Reducing Poverty in America by Promoting Opportunity and Economic Mobility,Executive Orders,Economy
"Mar 19, 2018",Taking Additional Steps to Address the Situation in Venezuela,Executive Orders,National security
"Mar 7, 2018",Federal Interagency Council on Crime Prevention and Improving Reentry,Executive Orders,Criminal justice
"Mar 1, 2018","2018 Amendments to the Manual for Courts-Martial, United States",Executive Orders,National security
"Feb 26, 2018","President's Council on Sports, Fitness, and Nutrition",Executive Orders,Events
"Jan 30, 2018",Protecting America Through Lawful Detention of Terrorists,Executive Orders,National security
"Jan 9, 2018",Supporting Our Veterans During Their Transition From Uniformed Service to Civilian Life,Executive Orders,National security
"Jan 8, 2018",Streamlining and Expediting Requests To Locate Broadband Facilities in Rural America,Executive Orders,Tech
"Jan 3, 2018",Termination of Presidential Advisory Commission on Election Integrity,Executive Orders,National security
"Dec 22, 2017",Adjustments of Certain Rates of Pay,Executive Orders,National security
"Dec 20, 2017",A Federal Strategy To Ensure Secure and Reliable Supplies of Critical Minerals,Executive Orders,Energy
"Dec 20, 2017",Blocking the Property of Persons Involved in Serious Human Rights Abuse or Corruption,Executive Orders,National security
"Dec 8, 2017",Revising the Seal for the National Credit Union Administration,Executive Orders,Economy
"Oct 24, 2017",Resuming the United States Refugee Admissions Program With Enhanced Vetting Capabilities,Executive Orders,Labor/Immigration
"Oct 20, 2017",Amending Executive Order 13223,Executive Orders,National security
"Oct 12, 2017",Promoting Healthcare Choice and Competition Across the United States,Executive Orders,Health care
"Sep 29, 2017",Continuance of Certain Federal Advisory Committees,Executive Orders,Administrative work
"Sep 29, 2017",Revocation of Executive Order Creating Labor-Management Forums,Executive Orders,Labor/Immigration
"Sep 21, 2017",Imposing Additional Sanctions With Respect To North Korea,Executive Orders,National security
"Aug 28, 2017","Restoring State, Tribal, and Local Law Enforcement's Access to Lifesaving Equipment and Resources",Executive Orders,National security
"Aug 24, 2017",Imposing Additional Sanctions With Respect to the Situation in Venezuela,Executive Orders,National security
"Aug 15, 2017",Establishing Discipline and Accountability in the Environmental Review and Permitting Process for Infrastructure Projects,Executive Orders,Energy
"Jul 21, 2017",Assessing and Strengthening the Manufacturing and Defense Industrial Base and Supply Chain Resiliency of the United States,Executive Orders,National security
"Jul 19, 2017",Establishing a Presidential Advisory Council on Infrastructure,Executive Orders,Economy
"Jul 11, 2017",Allowing Additional Time for Recognizing Positive Actions by the Government of Sudan and Amending Executive Order 13761,Executive Orders,National security
"Jun 30, 2017",Reviving the National Space Council,Executive Orders,National security
"Jun 21, 2017",Amending Executive Order 13597,Executive Orders,Labor/Immigration
"Jun 15, 2017",Expanding Apprenticeships in America,Executive Orders,Labor/Immigration
"May 11, 2017",Establishment of Presidential Advisory Commission on Election Integrity,Executive Orders,National security
"May 11, 2017",Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure,Executive Orders,Tech
"May 4, 2017",Promoting Free Speech and Religious Liberty,Executive Orders,Events
"Apr 29, 2017",Addressing Trade Agreement Violations and Abuses,Executive Orders,Economy
"Apr 29, 2017",Establishment of Office of Trade and Manufacturing Policy,Executive Orders,Economy
"Apr 28, 2017",Implementing an America-First Offshore Energy Strategy,Executive Orders,Energy
"Apr 28, 2017",Establishment of the American Technology Council,Executive Orders,Tech
"Apr 27, 2017",Improving Accountability and Whistleblower Protection at the Department of Veterans Affairs,Executive Orders,National security
