date,title,president,type,category,Category ideas?
04-30-2018,"National Physical Fitness and Sports Month, 2018",Donald J. Trump,Proclamations,Events,
04-30-2018,"Loyalty Day, 2018",Donald J. Trump,Proclamations,Events,
04-30-2018,Adjusting Imports of Aluminum Into the United States,Donald J. Trump,Proclamations,Economy,
04-30-2018,Adjusting Imports of Steel Into the United States,Donald J. Trump,Proclamations,Economy,
05-03-2018,"National Day of Prayer, 2018",Donald J. Trump,Proclamations,Events,
05-04-2018,"National Charter Schools Week, 2018",Donald J. Trump,Proclamations,Events,
05-04-2018,"National Hurricane Preparedness Week, 2018",Donald J. Trump,Proclamations,Events,
05-04-2018,"Public Service Recognition Week, 2018",Donald J. Trump,Proclamations,Events,
05-07-2018,"Be Best Day, 2018",Donald J. Trump,Proclamations,Events,
05-10-2018,"Military Spouse Day, 2018",Donald J. Trump,Proclamations,Events,
05-11-2018,"National Defense Transportation Day and National Transportation Week, 2018",Donald J. Trump,Proclamations,Events,
05-11-2018,"Peace Officers Memorial Day and Police Week, 2018",Donald J. Trump,Proclamations,Events,
05-11-2018,"Mother's Day, 2018",Donald J. Trump,Proclamations,Events,
05-18-2018,"National Safe Boating Week, 2018",Donald J. Trump,Proclamations,Events,
05-18-2018,"Emergency Medical Services Week, 2018",Donald J. Trump,Proclamations,Events,
05-18-2018,"World Trade Week, 2018",Donald J. Trump,Proclamations,Events,
05-18-2018,"Armed Forces Day, 2018",Donald J. Trump,Proclamations,Events,
05-18-2018,"Honoring the Victims of the Tragedy in Santa Fe, Texas",Donald J. Trump,Proclamations,Events,
05-21-2018,"National Maritime Day, 2018",Donald J. Trump,Proclamations,Events,
05-25-2018,"Prayer for Peace, Memorial Day, 2018",Donald J. Trump,Proclamations,Events,
05-30-2018,"Great Outdoors Month, 2018",Donald J. Trump,Proclamations,Events,
05-31-2018,Adjusting Imports of Aluminum Into the United States,Donald J. Trump,Proclamations,Economy,
05-31-2018,Adjusting Imports of Steel Into the United States,Donald J. Trump,Proclamations,Economy,
05-31-2018,"National Caribbean-American Heritage Month, 2018",Donald J. Trump,Proclamations,Events,
05-31-2018,"National Homeownership Month, 2018",Donald J. Trump,Proclamations,Events,
05-31-2018,"National Ocean Month, 2018",Donald J. Trump,Proclamations,Events,
06-01-2018,"African-American Music Appreciation Month, 2018",Donald J. Trump,Proclamations,Events,
06-08-2018,"Flag Day and National Flag Week, 2018",Donald J. Trump,Proclamations,Events,
06-15-2018,"Father's Day, 2018",Donald J. Trump,Proclamations,Events,
07-03-2018,"Honoring the Victims of the Tragedy in Annapolis, Maryland",Donald J. Trump,Proclamations,Events,
07-13-2018,"Captive Nations Week, 2018",Donald J. Trump,Proclamations,Events,
07-13-2018,"Made in America Day and Made in America Week, 2018",Donald J. Trump,Proclamations,Events,
07-25-2018,"Anniversary of the Americans with Disabilities Act, 2018",Donald J. Trump,Proclamations,Events,
07-26-2018,"National Korean War Veterans Armistice Day, 2018",Donald J. Trump,Proclamations,Events,
04-06-2018,"National Crime Victims' Rights Week, 2018",Donald J. Trump,Proclamations,Events,
04-06-2018,"National Former Prisoner of War Recognition Day, 2018",Donald J. Trump,Proclamations,Events,
04-10-2018,Maintaining Enhanced Vetting Capabilities and Processes for Detecting Attempted Entry Into the United States by Terrorists or Other Public-Safety Threats,Donald J. Trump,Proclamations,National security,
04-11-2018,"Days of Remembrance of Victims of the Holocaust, 2018",Donald J. Trump,Proclamations,Events,
07-30-2018,To Take Certain Actions Under the African Growth and Opportunity Act and for Other Purposes,Donald J. Trump,Proclamations,Economy,
08-10-2018,Adjusting Imports of Steel Into the United States,Donald J. Trump,Proclamations,Economy,
08-17-2018,"National Employer Support of the Guard and Reserve Week, 2018",Donald J. Trump,Proclamations,Events,
08-24-2018,"Women's Equality Day, 2018",Donald J. Trump,Proclamations,Events,
08-27-2018,Death of Senator John Sidney McCain III,Donald J. Trump,Proclamations,Events,
08-29-2018,Adjusting Imports of Aluminum Into the United States,Donald J. Trump,Proclamations,Economy,
08-29-2018,Adjusting Imports of Steel Into the United States,Donald J. Trump,Proclamations,Economy,
08-31-2018,"National Alcohol and Drug Addiction Recovery Month, 2018",Donald J. Trump,Proclamations,Events,
08-31-2018,"National Preparedness Month, 2018",Donald J. Trump,Proclamations,Events,
08-31-2018,"Labor Day, 2018",Donald J. Trump,Proclamations,Events,
09-07-2018,"National Days of Prayer and Remembrance, 2018",Donald J. Trump,Proclamations,Events,
09-10-2018,"Patriot Day, 2018",Donald J. Trump,Proclamations,Events,
09-13-2018,"National Hispanic Heritage Month, 2018",Donald J. Trump,Proclamations,Events,
09-13-2018,"National Farm Safety and Health Week, 2018",Donald J. Trump,Proclamations,Events,
09-14-2018,"National Gang Violence Prevention Week, 2018",Donald J. Trump,Proclamations,Events,
09-14-2018,"National Historically Black Colleges and Universities Week, 2018",Donald J. Trump,Proclamations,Events,
09-14-2018,"Prescription Opioid and Heroin Epidemic Awareness Week, 2018",Donald J. Trump,Proclamations,Events,
09-14-2018,"Constitution Day, Citizenship Day, and Constitution Week, 2018",Donald J. Trump,Proclamations,Events,
09-20-2018,"National POW/MIA Recognition Day, 2018",Donald J. Trump,Proclamations,Events,
09-21-2018,"National Hunting and Fishing Day, 2018",Donald J. Trump,Proclamations,Events,
09-28-2018,"National Breast Cancer Awareness Month, 2018",Donald J. Trump,Proclamations,Events,
09-28-2018,"National Cybersecurity Awareness Month, 2018",Donald J. Trump,Proclamations,Events,
09-28-2018,"National Disability Employment Awareness Month, 2018",Donald J. Trump,Proclamations,Events,
09-28-2018,"National Energy Awareness Month, 2018",Donald J. Trump,Proclamations,Events,
09-28-2018,"National Substance Abuse Prevention Month, 2018",Donald J. Trump,Proclamations,Events,
09-28-2018,"Gold Star Mother's and Family's Day, 2018",Donald J. Trump,Proclamations,Events,
09-28-2018,"Child Health Day, 2018",Donald J. Trump,Proclamations,Events,
10-04-2018,"National Manufacturing Day, 2018",Donald J. Trump,Proclamations,Events,
10-05-2018,"German-American Day, 2018",Donald J. Trump,Proclamations,Events,
10-05-2018,"Fire Prevention Week, 2018",Donald J. Trump,Proclamations,Events,
10-05-2018,"Columbus Day, 2018",Donald J. Trump,Proclamations,Events,
10-08-2018,"Leif Erikson Day, 2018",Donald J. Trump,Proclamations,Events,
10-09-2018,"National Domestic Violence Awareness Month, 2018",Donald J. Trump,Proclamations,Events,
10-10-2018,"General Pulaski Memorial Day, 2018",Donald J. Trump,Proclamations,Events,
10-12-2018,"Minority Enterprise Development Week, 2018",Donald J. Trump,Proclamations,Events,
10-12-2018,"National School Lunch Week, 2018",Donald J. Trump,Proclamations,Events,
10-12-2018,"Blind Americans Equality Day, 2018",Donald J. Trump,Proclamations,Events,
10-19-2018,"National Character Counts Week, 2018",Donald J. Trump,Proclamations,Events,
10-19-2018,"National Forest Products Week, 2018",Donald J. Trump,Proclamations,Events,
10-23-2018,"United Nations Day, 2018",Donald J. Trump,Proclamations,Events,
10-26-2018,Establishment of the Camp Nelson National Monument,Donald J. Trump,Proclamations,Energy,
10-27-2018,"Honoring the Victims of the Tragedy in Pittsburgh, Pennsylvania",Donald J. Trump,Proclamations,Events,
10-30-2018,To Modify the List of Products Eligible for Duty- Free Treatment Under the Generalized System of Preferences,Donald J. Trump,Proclamations,Economy,
10-31-2018,"Critical Infrastructure Security and Resilience Month, 2018",Donald J. Trump,Proclamations,Events,
10-31-2018,"National Adoption Month, 2018",Donald J. Trump,Proclamations,Events,
10-31-2018,"National Entrepreneurship Month, 2018",Donald J. Trump,Proclamations,Events,
10-31-2018,"National Family Caregivers Month, 2018",Donald J. Trump,Proclamations,Events,
10-31-2018,"National Native American Heritage Month, 2018",Donald J. Trump,Proclamations,Events,
10-31-2018,"National Veterans and Military Families Month, 2018",Donald J. Trump,Proclamations,Events,
11-08-2018,"Honoring the Victims of the Tragedy in Thousand Oaks, California",Donald J. Trump,Proclamations,Events,
11-08-2018,"World Freedom Day, 2018",Donald J. Trump,Proclamations,Events,
11-09-2018,Addressing Mass Migration Through the Southern Border of the United States,Donald J. Trump,Proclamations,Labor,
11-09-2018,"American Education Week, 2018",Donald J. Trump,Proclamations,Events,
11-09-2018,"National Apprenticeship Week, 2018",Donald J. Trump,Proclamations,Events,
11-09-2018,"Veterans Day, 2018",Donald J. Trump,Proclamations,Events,
11-16-2018,"National Family Week, 2018",Donald J. Trump,Proclamations,Events,
11-20-2018,"Thanksgiving Day, 2018",Donald J. Trump,Proclamations,Events,
11-30-2018,"National Impaired Driving Prevention Month, 2018",Donald J. Trump,Proclamations,Events,
11-30-2018,"World AIDS Day, 2018",Donald J. Trump,Proclamations,Events,
12-01-2018,Announcing the Death of George Herbert Walker Bush,Donald J. Trump,Proclamations,Events,
12-06-2018,"National Pearl Harbor Remembrance Day, 2018",Donald J. Trump,Proclamations,Events,
12-07-2018,"Human Rights Day, Bill of Rights Day, and Human Rights Week, 2018",Donald J. Trump,Proclamations,Events,
12-14-2018,"Wright Brothers Day, 2018",Donald J. Trump,Proclamations,Events,
12-21-2018,To Take Certain Actions Under the African Growth and Opportunity Act and for Other Purposes,Donald J. Trump,Proclamations,Economy,
12-31-2018,"National Slavery and Human Trafficking Prevention Month, 2019",Donald J. Trump,Proclamations,Events,
01-20-2017,National Day of Patriotic Devotion,Donald J. Trump,Proclamations,Events,
01-25-2017,"National School Choice Week, 2017",Donald J. Trump,Proclamations,Events,
02-01-2017,"National African American History Month, 2017",Donald J. Trump,Proclamations,Events,
02-02-2017,"American Heart Month, 2017",Donald J. Trump,Proclamations,Events,
03-01-2017,"American Red Cross Month, 2017",Donald J. Trump,Proclamations,Events,
03-01-2017,"Irish-American Heritage Month, 2017",Donald J. Trump,Proclamations,Events,
03-01-2017,"Women's History Month, 2017",Donald J. Trump,Proclamations,Events,
03-06-2017,"National Consumer Protection Week, 2017",Donald J. Trump,Proclamations,Events,
03-17-2017,"National Poison Prevention Week, 2017",Donald J. Trump,Proclamations,Events,
03-21-2017,"National Agriculture Day, 2017",Donald J. Trump,Proclamations,Events,
03-24-2017,"Greek Independence Day: A National Day of Celebration of Greek and American Democracy, 2017",Donald J. Trump,Proclamations,Events,
03-31-2017,"Cancer Control Month, 2017",Donald J. Trump,Proclamations,Events,
03-31-2017,"National Child Abuse Prevention Month, 2017",Donald J. Trump,Proclamations,Events,
03-31-2017,"National Donate Life Month, 2017",Donald J. Trump,Proclamations,Events,
03-31-2017,"National Financial Capability Month, 2017",Donald J. Trump,Proclamations,Events,
03-31-2017,"National Sexual Assault Awareness and Prevention Month, 2017",Donald J. Trump,Proclamations,Events,
03-31-2017,"World Autism Awareness Day, 2017",Donald J. Trump,Proclamations,Events,
04-03-2017,"National Crime Victims' Rights Week, 2017",Donald J. Trump,Proclamations,Events,
04-05-2017,Honoring the Memory of John Glenn,Donald J. Trump,Proclamations,Events,
04-06-2017,"Education and Sharing Day, U.S.A., 2017",Donald J. Trump,Proclamations,Events,
04-07-2017,"Pan American Day and Pan American Week, 2017",Donald J. Trump,Proclamations,Events,
04-07-2017,"National Former Prisoner of War Recognition Day, 2017",Donald J. Trump,Proclamations,Events,
04-14-2017,"National Park Week, 2017",Donald J. Trump,Proclamations,Events,
04-21-2017,"National Volunteer Week, 2017",Donald J. Trump,Proclamations,Events,
04-24-2017,"Days of Remembrance of Victims of the Holocaust, 2017",Donald J. Trump,Proclamations,Events,
04-28-2017,"Asian American and Pacific Islander Heritage Month, 2017",Donald J. Trump,Proclamations,Events,
04-28-2017,"Jewish American Heritage Month, 2017",Donald J. Trump,Proclamations,Events,
04-28-2017,"National Foster Care Month, 2017",Donald J. Trump,Proclamations,Events,
04-28-2017,"National Physical Fitness and Sports Month, 2017",Donald J. Trump,Proclamations,Events,
04-28-2017,"Older Americans Month, 2017",Donald J. Trump,Proclamations,Events,
04-28-2017,"National Charter Schools Week, 2017",Donald J. Trump,Proclamations,Events,
04-28-2017,"Small Business Week, 2017",Donald J. Trump,Proclamations,Events,
04-28-2017,"Loyalty Day, 2017",Donald J. Trump,Proclamations,Events,
05-01-2017,"National Mental Health Awareness Month, 2017",Donald J. Trump,Proclamations,Events,
05-01-2017,"Law Day, U.S.A., 2017",Donald J. Trump,Proclamations,Events,
05-04-2017,"National Day of Prayer, 2017",Donald J. Trump,Proclamations,Events,
05-05-2017,"National Hurricane Preparedness Week, 2017",Donald J. Trump,Proclamations,Events,
05-05-2017,"Public Service Recognition Week, 2017",Donald J. Trump,Proclamations,Events,
05-12-2017,"Military Spouse Day, 2017",Donald J. Trump,Proclamations,Events,
05-12-2017,"Mother's Day, 2017",Donald J. Trump,Proclamations,Events,
05-12-2017,"National Defense Transportation Day and National Transportation Week, 2017",Donald J. Trump,Proclamations,Events,
05-15-2017,"Peace Officers Memorial Day and Police Week, 2017",Donald J. Trump,Proclamations,Events,
05-19-2017,"Emergency Medical Services Week, 2017",Donald J. Trump,Proclamations,Events,
05-19-2017,"National Safe Boating Week, 2017",Donald J. Trump,Proclamations,Events,
05-19-2017,"World Trade Week, 2017",Donald J. Trump,Proclamations,Events,
05-19-2017,"Armed Forces Day, 2017",Donald J. Trump,Proclamations,Events,
05-19-2017,"National Maritime Day, 2017",Donald J. Trump,Proclamations,Events,
05-24-2017,"Prayer for Peace, Memorial Day, 2017",Donald J. Trump,Proclamations,Events,
05-31-2017,"African-American Music Appreciation Month, 2017",Donald J. Trump,Proclamations,Events,
05-31-2017,"Great Outdoors Month, 2017",Donald J. Trump,Proclamations,Events,
05-31-2017,"National Caribbean-American Heritage Month, 2017",Donald J. Trump,Proclamations,Events,
05-31-2017,"National Homeownership Month, 2017",Donald J. Trump,Proclamations,Events,
05-31-2017,"National Ocean Month, 2017",Donald J. Trump,Proclamations,Events,
06-14-2017,"Flag Day and National Flag Week, 2017",Donald J. Trump,Proclamations,Events,
06-16-2017,"Father's Day, 2017",Donald J. Trump,Proclamations,Events,
06-29-2017,To Modify Duty-Free Treatment Under the Generalized System of Preferences and for Other Purposes,Donald J. Trump,Proclamations,Economy,
07-14-2017,"Captive Nations Week, 2017",Donald J. Trump,Proclamations,Events,
07-17-2017,"Made in America Day and Made in America Week, 2017",Donald J. Trump,Proclamations,Events,
07-25-2017,"Anniversary of the Americans with Disabilities Act, 2017",Donald J. Trump,Proclamations,Events,
07-26-2017,"National Korean War Veterans Armistice Day, 2017",Donald J. Trump,Proclamations,Events,
08-20-2017,"National Employer Support of the Guard and Reserve Week, 2017",Donald J. Trump,Proclamations,Events,
08-25-2017,"Women's Equality Day, 2017",Donald J. Trump,Proclamations,Events,
08-30-2017,"National Preparedness Month, 2017",Donald J. Trump,Proclamations,Events,
08-31-2017,"National Alcohol and Drug Addiction Recovery Month, 2017",Donald J. Trump,Proclamations,Events,
09-01-2017,National Day of Prayer for the Victims of Hurricane Harvey and for Our National Response and Recovery Efforts,Donald J. Trump,Proclamations,Events,
09-08-2017,"National Days of Prayer and Remembrance, 2017",Donald J. Trump,Proclamations,Events,
09-08-2017,"Patriot Day, 2017",Donald J. Trump,Proclamations,Events,
09-13-2017,"National Hispanic Heritage Month, 2017",Donald J. Trump,Proclamations,Events,
09-13-2017,"National POW/MIA Recognition Day, 2017",Donald J. Trump,Proclamations,Events,
09-15-2017,"Constitution Day, Citizenship Day, and Constitution Week, 2017",Donald J. Trump,Proclamations,Events,
09-15-2017,"National Farm Safety and Health Week, 2017",Donald J. Trump,Proclamations,Events,
09-15-2017,"National Gang Violence Prevention Week, 2017",Donald J. Trump,Proclamations,Events,
09-15-2017,"National Historically Black Colleges and Universities Week, 2017",Donald J. Trump,Proclamations,Events,
09-15-2017,"Prescription Opioid and Heroin Epidemic Awareness Week, 2017",Donald J. Trump,Proclamations,Events,
09-22-2017,"Gold Star Mother's and Family's Day, 2017",Donald J. Trump,Proclamations,Events,
09-24-2017,Enhancing Vetting Capabilities and Processes for Detecting Attempted Entry Into the United States by Terrorists or Other Public-Safety Threats,Donald J. Trump,Proclamations,National security,
09-28-2017,"National Disability Employment Awareness Month, 2017",Donald J. Trump,Proclamations,Events,
09-29-2017,"National Breast Cancer Awareness Month, 2017",Donald J. Trump,Proclamations,Events,
09-29-2017,"National Cybersecurity Awareness Month, 2017",Donald J. Trump,Proclamations,Events,
09-29-2017,"National Domestic Violence Awareness Month, 2017",Donald J. Trump,Proclamations,Events,
09-29-2017,"Child Health Day, 2017",Donald J. Trump,Proclamations,Events,
10-02-2017,"Honoring the Victims of the Tragedy in Las Vegas, Nevada",Donald J. Trump,Proclamations,Events,
10-05-2017,"German-American Day, 2017",Donald J. Trump,Proclamations,Events,
10-06-2017,"Fire Prevention Week, 2017",Donald J. Trump,Proclamations,Events,
10-06-2017,"National School Lunch Week, 2017",Donald J. Trump,Proclamations,Events,
10-06-2017,"National Manufacturing Day, 2017",Donald J. Trump,Proclamations,Events,
10-06-2017,"Columbus Day, 2017",Donald J. Trump,Proclamations,Events,
10-06-2017,"Leif Erikson Day, 2017",Donald J. Trump,Proclamations,Events,
10-10-2017,"General Pulaski Memorial Day, 2017",Donald J. Trump,Proclamations,Events,
10-12-2017,"National Energy Awareness Month, 2017",Donald J. Trump,Proclamations,Events,
10-13-2017,"National Character Counts Week, 2017",Donald J. Trump,Proclamations,Events,
10-13-2017,"National Forest Products Week, 2017",Donald J. Trump,Proclamations,Events,
10-13-2017,"Blind Americans Equality Day, 2017",Donald J. Trump,Proclamations,Events,
10-20-2017,"Minority Enterprise Development Week, 2017",Donald J. Trump,Proclamations,Events,
10-23-2017,"United Nations Day, 2017",Donald J. Trump,Proclamations,Events,
10-31-2017,"Critical Infrastructure Security and Resilience Month, 2017",Donald J. Trump,Proclamations,Events,
10-31-2017,"National Adoption Month, 2017",Donald J. Trump,Proclamations,Events,
10-31-2017,"National Entrepreneurship Month, 2017",Donald J. Trump,Proclamations,Events,
10-31-2017,"National Family Caregivers Month, 2017",Donald J. Trump,Proclamations,Events,
10-31-2017,"National Native American Heritage Month, 2017",Donald J. Trump,Proclamations,Events,
11-01-2017,"National Veterans and Military Families Month, 2017",Donald J. Trump,Proclamations,Events,
11-05-2017,"Honoring the Victims of the Sutherland Springs, Texas, Shooting",Donald J. Trump,Proclamations,Events,
11-07-2017,"Veterans Day, 2017",Donald J. Trump,Proclamations,Events,
11-08-2017,"World Freedom Day, 2017",Donald J. Trump,Proclamations,Events,
11-10-2017,Commemoration of the 50th Anniversary of the Vietnam War,Donald J. Trump,Proclamations,Events,
11-10-2017,"American Education Week, 2017",Donald J. Trump,Proclamations,Events,
11-10-2017,"National Apprenticeship Week, 2017",Donald J. Trump,Proclamations,Events,
11-17-2017,"National Family Week, 2017",Donald J. Trump,Proclamations,Events,
11-17-2017,"Thanksgiving Day, 2017",Donald J. Trump,Proclamations,Events,
11-30-2017,"National Impaired Driving Prevention Month, 2017",Donald J. Trump,Proclamations,Events,
11-30-2017,"World AIDS Day, 2017",Donald J. Trump,Proclamations,Events,
12-04-2017,Modifying the Bears Ears National Monument,Donald J. Trump,Proclamations,Energy,
12-04-2017,Modifying the Grand Staircase-Escalante National Monument,Donald J. Trump,Proclamations,Energy,
12-06-2017,Recognizing Jerusalem as the Capital of the State of Israel and Relocating the United States Embassy to Israel to Jerusalem,Donald J. Trump,Proclamations,National security,
12-07-2017,"National Pearl Harbor Remembrance Day, 2017",Donald J. Trump,Proclamations,Events,
12-08-2017,"Human Rights Day, Bill of Rights Day, and Human Rights Week, 2017",Donald J. Trump,Proclamations,Events,
12-15-2017,"Wright Brothers Day, 2017",Donald J. Trump,Proclamations,Events,
12-22-2017,To Take Certain Actions Under the African Growth and Opportunity Act and for Other Purposes,Donald J. Trump,Proclamations,Economy,
12-29-2017,"National Slavery and Human Trafficking Prevention Month, 2018",Donald J. Trump,Proclamations,Events,
12-03-2020,Extension of Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,,Memoranda,Economy,
12-03-2020,Extension of Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,,Memoranda,Economy,
11-24-2020,Continuation of the National Emergency With Respect to the Situation in Nicaragua,,Memoranda,National security,
11-07-2020,"Delegation of Authority Under Section 506(a)(1) of the Foreign Assistance Act of 1961, as Amended",,Memoranda,National security,
11-09-2020,Delegation of Authority for Fiscal Year 2021 Cost Estimates and Annual Reports to the Congress for the Land and Water Conservation Fund,Donald J. Trump,Memoranda,Energy,
10-31-2020,"Protecting Jobs, Economic Opportunities, and National Security for All Americans by Ensuring Appropriate Support of Innovative Technologies for Using Our Domestic Natural Resources",Donald J. Trump,Memoranda,Economy,
10-14-2020,Delegation of Authority Under Section 404(c) of the Child Soldiers Prevention Act of 2008,Donald J. Trump,Memoranda,National security,
10-09-2020,Delegation of Authority Under 15 U.S.C. 634c(b)(3)(B),Donald J. Trump,Memoranda,Economy,
09-02-2020,Delegation of Authority To Submit to the Congress the Notifications and Explanations Specified in the Resolution of Advice and Consent to Ratification of the Agreement Between the United States of America and the International Atomic Energy Agency for the Application of Safeguards in the United States of America,Donald J. Trump,Memoranda,Energy,
09-04-2020,Delegation of Certain Functions and Authorities Under the Global Fragility Act of 2019,Donald J. Trump,Memoranda,National security,
09-02-2020,Providing an Order of Succession Within the General Services Administration,Donald J. Trump,Memoranda,Administrative work,
08-29-2020,Extension of the Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Donald J. Trump,Memoranda,Economy,
08-08-2020,Continued Student Loan Payment Relief During the COVID-19 Pandemic,Donald J. Trump,Memoranda,Economy,
08-08-2020,Deferring Payroll Tax Obligations in Light of the Ongoing COVID-19 Disaster,Donald J. Trump,Memoranda,Economy,
07-07-2020,Delegation of Authority Under the Better Utilization of Investments Leading to Development Act of 2018,Donald J. Trump,Memoranda,Economy,
07-21-2020,Excluding Illegal Aliens From the Apportionment Base Following the 2020 Census,Donald J. Trump,Memoranda,Labor,
04-14-2020,Delegation of Authorities Under the National Defense Authorization Act for Fiscal Year 2020 and the Eastern Mediterranean Security and Energy Partnership Act of 2019,Donald J. Trump,Memoranda,National security,
06-04-2020,Protecting United States Investors From Significant Risks From Chinese Companies,Donald J. Trump,Memoranda,National security,
06-02-2020,Providing Continued Federal Support for Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Donald J. Trump,Memoranda,Economy,
05-20-2020,Providing Continued Federal Support for Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Donald J. Trump,Memoranda,Economy,
05-12-2020,Delegation of Functions and Authorities Under Section 1260J of the National Defense Authorization Act for Fiscal Year 2020,Donald J. Trump,Memoranda,National security,
05-08-2020,Providing Continued Federal Support for Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Donald J. Trump,Memoranda,Economy,
04-28-2020,Providing Continued Federal Support for Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Donald J. Trump,Memoranda,Economy,
04-20-2020,Providing Continued Federal Support for Governors' Use of the National Guard To Respond to COVID-19 and To Facilitate Economic Recovery,Donald J. Trump,Memoranda,Economy,
03-31-2020,Delegation of Certain Functions and Authorities Under the National Defense Authorization Act for Fiscal Year 2020,Donald J. Trump,Memoranda,National security,
04-10-2020,Authorizing the Exercise of Authority Under Public Law 85-804,Donald J. Trump,Memoranda,National security,
04-13-2020,Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Donald J. Trump,Memoranda,Economy,
04-07-2020,Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Donald J. Trump,Memoranda,Economy,
04-02-2020,Providing an Order of Succession Within the Pension Benefit Guaranty Corporation,Donald J. Trump,Memoranda,Administrative work,
04-02-2020,Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Donald J. Trump,Memoranda,Economy,
03-30-2020,Extending the Wind-Down Period for Deferred Enforced Departure for Liberians,Donald J. Trump,Memoranda,National security,
03-28-2020,Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Donald J. Trump,Memoranda,Economy,
03-30-2020,Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Donald J. Trump,Memoranda,Economy,
03-22-2020,Providing Federal Support for Governors' Use of the National Guard To Respond to COVID-19,Donald J. Trump,Memoranda,Economy,
03-20-2020,Delegation of Functions Under 31 U.S.C. 5302,Donald J. Trump,Memoranda,Economy,
03-13-2020,Expanding State-Approved Diagnostic Tests,Donald J. Trump,Memoranda,Health care,
03-11-2020,Making General Use Respirators Available,Donald J. Trump,Memoranda,Health care,
02-21-2020,Delegation of Certain Functions and Authorities Under the National Defense Authorization Act for Fiscal Year 2020,Donald J. Trump,Memoranda,National security,
03-03-2020,Delegation of Authority to Re-establish the Presidential Advisory Council on Combating Antibiotic- Resistant Bacteria,Donald J. Trump,Memoranda,Health care,
02-19-2020,Developing and Delivering More Water Supplies to California,Donald J. Trump,Memoranda,Energy,
01-29-2020,Delegation of Certain Authority Under the Federal Service Labor-Management Relations Statute,Donald J. Trump,Memoranda,National security,
11-19-2019,Ocean Mapping of the United States Exclusive Economic Zone and the Shoreline and Nearshore of Alaska,Donald J. Trump,Memoranda,Economy,
11-12-2019,Delegation of Removal Authority Over the Federal Service Impasses Panel,Donald J. Trump,Memoranda,Labor,
10-11-2019,"Executive Orders 13836, 13837, and 13839",Donald J. Trump,Memoranda,Labor,
09-24-2019,Delegation of Functions and Authorities Under the Better Utilization of Investments Leading to Development Act of 2018,Donald J. Trump,Memoranda,Economy,
09-06-2019,Providing an Order of Secession Within the Council on Environmental Quality,Donald J. Trump,Memoranda,Energy,
08-21-2019,Discharging the Federal Student Loan Debt of Totally and Permanently Disabled Veterans,Donald J. Trump,Memoranda,National security,
07-19-2019,Delegation of Authority Under the Asia Reassurance Initiative Act of 2018,Donald J. Trump,Memoranda,National security,
07-26-2019,Reforming Developing-Country Status in the World Trade Organization,Donald J. Trump,Memoranda,National security,
06-26-2019,Policy for Military Service Academy and Reserve Officers' Training Corps Graduates Seeking to Participate in Professional Sports,Donald J. Trump,Memoranda,National security,
05-24-2019,Delegation of Functions and Authorities Under the Nicaragua Human Rights and Anticorruption Act of 2018,Donald J. Trump,Memoranda,National security,
05-24-2019,Delegation of Functions and Authorities Under the Sanctioning the Use of Civilians as Defenseless Shields Act,Donald J. Trump,Memoranda,National security,
05-24-2019,"Delegation of Function Under the Hizballah International Financing Prevention Act of 2015, as Amended",Donald J. Trump,Memoranda,National security,
05-24-2019,Revisions to the 2017 Unified Command Plan,Donald J. Trump,Memoranda,National security,
05-23-2019,Agency Cooperation With Attorney General's Review of Intelligence Activities Relating to the 2016 Presidential Campaigns,Donald J. Trump,Memoranda,National security,
04-30-2019,Delegation of Authority Under Section 5 of the United States-Caribbean Strategic Engagement Act of 2016,Donald J. Trump,Memoranda,National security,
04-22-2019,Combating High Nonimmigrant Overstay Rates,Donald J. Trump,Memoranda,Labor,
04-01-2019,Delaying Submission of the Small Business Report Under the Trade Facilitation and Trade Enforcement Act of 2015,Donald J. Trump,Memoranda,Economy,
03-28-2019,Extension of Deferred Enforced Departure for Liberians,Donald J. Trump,Memoranda,National security,
03-27-2019,Federal Housing Finance Reform,Donald J. Trump,Memoranda,Economy,
01-08-2019,Decision on the United States Consulate General in Jerusalem,Donald J. Trump,Memoranda,National security,
01-15-2019,"Delegation of Functions and Authorities Under the Hizballah International Financing Prevention Act of 2015, as Amended, and the Hizballah International Financing Prevention Amendments Act of 2018",Donald J. Trump,Memoranda,National security,
01-15-2019,Delegation of Authorities and Responsibilities Under Section 1763 of the National Defense Authorization Act for Fiscal Year 2019,Donald J. Trump,Memoranda,National security,
12-21-2018,Delegation of Functions and Authorities Under Section 1238 of the FAA Reauthorization Act of 2018,Donald J. Trump,Memoranda,Economy,
