date,title,president,type,category,Category ideas?
09-29-2017,Continuance of Certain Federal Advisory Committees,Donald J. Trump,Executive Orders,Administrative work,
09-29-2017,Revocation of Executive Order Creating Labor-Management Forums,Donald J. Trump,Executive Orders,Labor,
09-21-2017,Imposing Additional Sanctions With Respect To North Korea,Donald J. Trump,Executive Orders,National security,
08-28-2017,"Restoring State, Tribal, and Local Law Enforcement's Access to Lifesaving Equipment and Resources",Donald J. Trump,Executive Orders,National security,
08-24-2017,Imposing Additional Sanctions With Respect to the Situation in Venezuela,Donald J. Trump,Executive Orders,National security,
08-15-2017,Establishing Discipline and Accountability in the Environmental Review and Permitting Process for Infrastructure Projects,Donald J. Trump,Executive Orders,Energy,
07-21-2017,Assessing and Strengthening the Manufacturing and Defense Industrial Base and Supply Chain Resiliency of the United States,Donald J. Trump,Executive Orders,National security,
07-19-2017,Establishing a Presidential Advisory Council on Infrastructure,Donald J. Trump,Executive Orders,Economy,
07-11-2017,Allowing Additional Time for Recognizing Positive Actions by the Government of Sudan and Amending Executive Order 13761,Donald J. Trump,Executive Orders,National security,
06-30-2017,Reviving the National Space Council,Donald J. Trump,Executive Orders,National security,
06-21-2017,Amending Executive Order 13597,Donald J. Trump,Executive Orders,Labor,
06-15-2017,Expanding Apprenticeships in America,Donald J. Trump,Executive Orders,Labor,
05-11-2017,Establishment of Presidential Advisory Commission on Election Integrity,Donald J. Trump,Executive Orders,National security,
05-11-2017,Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure,Donald J. Trump,Executive Orders,Tech,
05-04-2017,Promoting Free Speech and Religious Liberty,Donald J. Trump,Executive Orders,Events,
04-29-2017,Addressing Trade Agreement Violations and Abuses,Donald J. Trump,Executive Orders,Economy,
04-29-2017,Establishment of Office of Trade and Manufacturing Policy,Donald J. Trump,Executive Orders,Economy,
04-28-2017,Implementing an America-First Offshore Energy Strategy,Donald J. Trump,Executive Orders,Energy,
04-28-2017,Establishment of the American Technology Council,Donald J. Trump,Executive Orders,Tech,
04-27-2017,Improving Accountability and Whistleblower Protection at the Department of Veterans Affairs,Donald J. Trump,Executive Orders,National security,
04-26-2017,Review of Designations Under the Antiquities Act,Donald J. Trump,Executive Orders,Administrative work,
04-26-2017,Enforcing Statutory Prohibitions on Federal Control of Education,Donald J. Trump,Executive Orders,Administrative work,
04-25-2017,Promoting Agriculture and Rural Prosperity in America,Donald J. Trump,Executive Orders,Economy,
04-21-2017,Identifying and Reducing Tax Regulatory Burdens,Donald J. Trump,Executive Orders,Economy,
04-18-2017,Buy American and Hire American,Donald J. Trump,Executive Orders,Economy,
03-31-2017,Omnibus Report on Significant Trade Deficits,Donald J. Trump,Executive Orders,Economy,
03-31-2017,Establishing Enhanced Collection and Enforcement of Antidumping and Countervailing Duties and Violations of Trade and Customs Laws,Donald J. Trump,Executive Orders,Economy,
03-31-2017,Providing an Order of Succession Within the Department of Justice,Donald J. Trump,Executive Orders,Administrative work,
03-29-2017,Establishing the President's Commission on Combating Drug Addiction and the Opioid Crisis,Donald J. Trump,Executive Orders,Health care,
03-28-2017,Promoting Energy Independence and Economic Growth,Donald J. Trump,Executive Orders,Energy,
03-27-2017,Revocation of Federal Contracting Executive Orders,Donald J. Trump,Executive Orders,Labor,
03-13-2017,Comprehensive Plan for Reorganizing the Executive Branch,Donald J. Trump,Executive Orders,Administrative work,
03-06-2017,Protecting the Nation From Foreign Terrorist Entry Into the United States,Donald J. Trump,Executive Orders,National security,
02-28-2017,"Restoring the Rule of Law, Federalism, and Economic Growth by Reviewing the ""Waters of the United States"" Rule",Donald J. Trump,Executive Orders,Energy,
02-28-2017,White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities,Donald J. Trump,Executive Orders,Events,
02-24-2017,Enforcing the Regulatory Reform Agenda,Donald J. Trump,Executive Orders,Administrative work,
02-09-2017,Task Force on Crime Reduction and Public Safety,Donald J. Trump,Executive Orders,Criminal justice,
02-09-2017,"Preventing Violence Against Federal, State, Tribal, and Local Law Enforcement Officers",Donald J. Trump,Executive Orders,Criminal justice,
02-09-2017,Enforcing Federal Law With Respect to Transnational Criminal Organizations and Preventing International Trafficking,Donald J. Trump,Executive Orders,National security,
02-09-2017,Providing an Order of Succession Within the Department of Justice,Donald J. Trump,Executive Orders,Administrative work,
02-03-2017,Core Principles for Regulating the United States Financial System,Donald J. Trump,Executive Orders,Economy,
01-30-2017,Reducing Regulation and Controlling Regulatory Costs,Donald J. Trump,Executive Orders,Economy,
01-28-2017,Ethics Commitments by Executive Branch Appointees,Donald J. Trump,Executive Orders,Administrative work,
01-27-2017,Protecting the Nation From Foreign Terrorist Entry Into the United States,Donald J. Trump,Executive Orders,National security,
01-25-2017,Border Security and Immigration Enforcement Improvements,Donald J. Trump,Executive Orders,Labor,
01-25-2017,Enhancing Public Safety in the Interior of the United States,Donald J. Trump,Executive Orders,Labor,
01-24-2017,Expediting Environmental Reviews and Approvals for High-Priority Infrastructure Projects,Donald J. Trump,Executive Orders,Energy,
01-20-2017,Minimizing the Economic Burden of the Patient Protection and Affordable Care Act Pending Repeal,Donald J. Trump,Executive Orders,Health care,
06-30-2017,"Pledge to America's Workers Month, 2020",Donald J. Trump,Proclamations,Events,
