ShortName,youthLiteracyRate,under5Mortality,country,adolescentFertilityRate,ISO3,Region
Colombia,99,16.9,Colombia,54.6654,COL,Latin America & Caribbean
Comoros,87,78.3,Comoros,71.9988,COM,Sub-Saharan Africa
Dem. Rep. Congo,53,49.6,"Congo, Dem. Rep.",123.6202,COD,Sub-Saharan Africa
Congo,77,104.8,"Congo, Rep.",122.346,COG,Sub-Saharan Africa
Costa Rica,99,10,Costa Rica,58.0514,CRI,Latin America & Caribbean
Cote d'Ivoire,39,99,Cote d'Ivoire,135.302,CIV,Sub-Saharan Africa
Croatia,100,4.7,Croatia,10.68,HRV,Europe & Central Asia
Cuba,100,5.7,Cuba,47.2252,CUB,Latin America & Caribbean
Cyprus,100,3,Cyprus,5.2794,CYP,Europe & Central Asia
Dominican Republic,98,32.2,Dominican Republic,99.5292,DOM,Latin America & Caribbean
Ecuador,99,23,Ecuador,76.7488,ECU,Latin America & Caribbean
Egypt,86,25.8,"Egypt, Arab Rep.",53.5396,EGY,Middle East & North Africa
El Salvador,97,18,El Salvador,66.1952,SLV,Latin America & Caribbean
Equatorial Guinea,99,100.3,Equatorial Guinea,112.0642,GNQ,Sub-Saharan Africa
Eritrea,89,49.7,Eritrea,58.3406,ERI,Sub-Saharan Africa
Estonia,100,3.5,Estonia,14.8994,EST,Europe & Central Asia
Ethiopia,47,64.6,Ethiopia,63.6274,ETH,Sub-Saharan Africa
Gabon,89,54.8,Gabon,106.708,GAB,Sub-Saharan Africa
The Gambia,66,73.6,"Gambia, The",114.7038,GMB,Sub-Saharan Africa
Georgia,100,13.4,Georgia,43.9324,GEO,Europe & Central Asia
Ghana,83,66.5,Ghana,68.8752,GHA,Sub-Saharan Africa
Greece,99,4.7,Greece,8.1042,GRC,Europe & Central Asia
Guatemala,92,31.1,Guatemala,82.72,GTM,Latin America & Caribbean
Guinea,22,100.4,Guinea,143.7726,GIN,Sub-Saharan Africa
Guinea-Bissau,69,100.5,Guinea-Bissau,95.2424,GNB,Sub-Saharan Africa
Guyana,94,40.8,Guyana,89.2584,GUY,Latin America & Caribbean
Haiti,70,73.1,Haiti,40.47,HTI,Latin America & Caribbean
Honduras,96,21.8,Honduras,67.0488,HND,Latin America & Caribbean
Hungary,99,6.2,Hungary,18.7178,HUN,Europe & Central Asia
India,74,52.1,India,28.0568,IND,South Asia
Indonesia,99,29.3,Indonesia,50.753,IDN,East Asia & Pacific
Iran,98,16.8,"Iran, Islamic Rep.",27.8554,IRN,Middle East & North Africa
Iraq,81,33.9,Iraq,81.6186,IRQ,Middle East & North Africa
Israel,99,4.2,Israel,10.8146,ISR,Middle East & North Africa
Italy,100,3.7,Italy,6.2324,ITA,Europe & Central Asia
Jamaica,99,16.7,Jamaica,62.3322,JAM,Latin America & Caribbean
Jordan,99,19,Jordan,24.8826,JOR,Middle East & North Africa
Kazakhstan,100,16.4,Kazakhstan,29.981,KAZ,Europe & Central Asia
Kenya,82,53.4,Kenya,92.843,KEN,Sub-Saharan Africa
Dem. People's Rep. Korea,100,27.4,"Korea, Dem. Rep.",0.5994,PRK,East Asia & Pacific
Kuwait,99,9.4,Kuwait,10.8486,KWT,Middle East & North Africa
Kyrgyz Republic,100,24,Kyrgyz Republic,40.7962,KGZ,Europe & Central Asia
Lao PDR,79,71.3,Lao PDR,65.348,LAO,East Asia & Pacific
Latvia,100,8.4,Latvia,14.669,LVA,Europe & Central Asia
Lebanon,99,8.9,Lebanon,13.1262,LBN,Middle East & North Africa
Lesotho,92,93.6,Lesotho,91.3852,LSO,Sub-Saharan Africa
Liberia,37,76.3,Liberia,113.9902,LBR,Sub-Saharan Africa
Libya,100,14.5,Libya,6.2694,LBY,Middle East & North Africa
Lithuania,100,5.3,Lithuania,12.8092,LTU,Europe & Central Asia
Madagascar,64,53.4,Madagascar,120.168,MDG,Sub-Saharan Africa
Malawi,70,71.3,Malawi,138.595,MWI,Sub-Saharan Africa
Malaysia,98,7.5,Malaysia,13.0802,MYS,East Asia & Pacific
Maldives,99,9.9,Maldives,8.338,MDV,South Asia
Mali,39,122.7,Mali,177.1464,MLI,Sub-Saharan Africa
Malta,99,6.6,Malta,17.3048,MLT,Middle East & North Africa
Mauritania,48,90.2,Mauritania,80.8598,MRT,Sub-Saharan Africa
Mauritius,99,14.3,Mauritius,28.8782,MUS,Sub-Saharan Africa
Mexico,99,14.5,Mexico,64.7146,MEX,Latin America & Caribbean
Moldova,100,16.4,Moldova,24.444,MDA,Europe & Central Asia
Mongolia,99,24.7,Mongolia,17.6874,MNG,East Asia & Pacific
Montenegro,99,5.3,Montenegro,12.897,MNE,Europe & Central Asia
Morocco,74,29.7,Morocco,32.7784,MAR,Middle East & North Africa
Mozambique,57,85.6,Mozambique,148.1392,MOZ,Sub-Saharan Africa
Myanmar,96,53.5,Myanmar,17.1758,MMR,East Asia & Pacific
Namibia,91,47.7,Namibia,78.5882,NAM,Sub-Saharan Africa
Nepal,77,39,Nepal,73.7654,NPL,South Asia
Nicaragua,89,23.5,Nicaragua,91.2078,NIC,Latin America & Caribbean
Niger,15,104.1,Niger,206.045,NER,Sub-Saharan Africa
Nigeria,58,116.6,Nigeria,114.468,NGA,Sub-Saharan Africa
Oman,98,11.7,Oman,9.6078,OMN,Middle East & North Africa
Pakistan,63,85.6,Pakistan,39.99,PAK,South Asia
Panama,97,18.1,Panama,76.9206,PAN,Latin America & Caribbean
Papua New Guinea,76,60.9,Papua New Guinea,56.07,PNG,East Asia & Pacific
Paraguay,99,21.9,Paraguay,59.1124,PRY,Latin America & Caribbean
Peru,99,18.3,Peru,50.9086,PER,Latin America & Caribbean
Philippines,98,29.6,Philippines,58.8826,PHL,East Asia & Pacific
Poland,100,5.2,Poland,14.193,POL,Europe & Central Asia
Portugal,99,3.8,Portugal,11.1172,PRT,Europe & Central Asia
Qatar,100,8.4,Qatar,11.2884,QAT,Middle East & North Africa
Romania,99,12,Romania,36.206,ROU,Europe & Central Asia
Russia,100,10.4,Russian Federation,25.5276,RUS,Europe & Central Asia
Rwanda,78,47.8,Rwanda,28.4676,RWA,Sub-Saharan Africa
Samoa,100,18.2,Samoa,26.9306,WSM,East Asia & Pacific
Sao Tom_ and Principe,77,50.8,Sao Tome and Principe,86.88,STP,Sub-Saharan Africa
Saudi Arabia,99,15.5,Saudi Arabia,10.06,SAU,Middle East & North Africa
Senegal,59,52.5,Senegal,83.6376,SEN,Sub-Saharan Africa
Serbia,99,6.9,Serbia,19.9722,SRB,Europe & Central Asia
Seychelles,99,14,Seychelles,58.9794,SYC,Sub-Saharan Africa
Sierra Leone,54,133.4,Sierra Leone,122.4688,SLE,Sub-Saharan Africa
Singapore,100,2.8,Singapore,3.8712,SGP,East Asia & Pacific
Slovenia,100,2.8,Slovenia,4.2084,SVN,Europe & Central Asia
South Africa,99,43.4,South Africa,48.7214,ZAF,Sub-Saharan Africa
Spain,100,4.3,Spain,8.733,ESP,Europe & Central Asia
Sri Lanka,99,10.2,Sri Lanka,16.569,LKA,South Asia
Sudan,85,74.2,Sudan,79.994,SDN,Sub-Saharan Africa
Suriname,99,22.6,Suriname,47.2984,SUR,Latin America & Caribbean
Swaziland,95,67.6,Swaziland,79.9952,SWZ,Sub-Saharan Africa
Syrian Arab Republic,94,15.3,Syrian Arab Republic,41.1662,SYR,Middle East & North Africa
Tajikistan,100,47.8,Tajikistan,38.9126,TJK,Europe & Central Asia
Thailand,97,13.1,Thailand,44.6664,THA,East Asia & Pacific
Timor-Leste,79,56.5,Timor-Leste,49.964,TLS,East Asia & Pacific
Togo,73,83.3,Togo,91.8462,TGO,Sub-Saharan Africa
Tonga,100,17.3,Tonga,16.0212,TON,East Asia & Pacific
Trinidad and Tobago,100,21.5,Trinidad and Tobago,33.4818,TTO,Latin America & Caribbean
Tunisia,96,15.2,Tunisia,6.7884,TUN,Middle East & North Africa
Turkey,98,15.4,Turkey,30.021,TUR,Europe & Central Asia
Turkmenistan,100,54.7,Turkmenistan,17.3494,TKM,Europe & Central Asia
Uganda,85,60.3,Uganda,120.7472,UGA,Sub-Saharan Africa
Ukraine,100,10,Ukraine,26.419,UKR,Europe & Central Asia
United Arab Emirates,97,7.4,United Arab Emirates,28.4394,ARE,Middle East & North Africa
Uruguay,99,11.1,Uruguay,57.2492,URY,Latin America & Caribbean
Uzbekistan,100,41.8,Uzbekistan,18.0354,UZB,Europe & Central Asia
Vanuatu,95,28.4,Vanuatu,44.1226,VUT,East Asia & Pacific
Venezuela,99,15.7,"Venezuela, RB",80.2826,VEN,Latin America & Caribbean
Vietnam,97,22.9,Vietnam,37.0902,VNM,East Asia & Pacific
Yemen,78,46,"Yemen, Rep.",63.7318,YEM,Middle East & North Africa
Zambia,58,70.2,Zambia,98.1738,ZMB,Sub-Saharan Africa
Zimbabwe,92,74.5,Zimbabwe,111.8664,ZWE,Sub-Saharan Africa
World,87,39,World,56,ARB,
