scope,emissions_category,emissions_source,sub_activity,activity,sub_bu,last_bu,bu,value
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,20423.0869
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,2923.93612
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,1751.9871
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,417.051415
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,1672.58719
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,2810.42958
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,2113.63981
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,22218.9287
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,3922.51765
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,870.227106
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,137.078579
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,1040.16955
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,47.067753
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Transportation and Distribution,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,11611.1272
Scope 3,Purchased Goods and Services,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,532.362704
Scope 3,Transportation and Distribution,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,320.473815
Scope 3,Transportation and Distribution,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,157.459301
Scope 3,Transportation and Distribution,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,160.647501
Scope 3,Transportation and Distribution,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,190.74313
Scope 3,Transportation and Distribution,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
